term	section	course	instructor	whenWhere
Summer 2016	9025	MATH-114	Abadia	MTWTH 12:45-2:50pm SRC-W222 6/20-7/28
Summer 2015	9025	MATH-114	Abadia	MTWTH 12:45-2:50pm SRC-W222 6/15-7/23
Fall 2007	9078	MATH-120	Abadia	TTH 8:30-10:45am SRC-E226 8/16-12/16
Fall 2014	9091	MATH-142	Abadia	MW 4:00-5:50pm SRC-E227
Fall 2013	9091	MATH-142	Abadia	MW 4:00-5:50pm SRC-E227
Spring 2006	9123	MATH-080C	Abadia	TTH 3:00-5:50pm ALHS 1/16-3/15
Spring 2007	9123	MATH-080C	Abadia	TTH 3:00-5:50pm ALHS 1/16-3/15
Fall 2015	9273	MATH-120	Abadia	MW 3:30-5:45pm SRC-W217
Summer 2018	9277	MATH-142	Abadia	MTWTH 10:30AM-01:20PM SRC-W220 6/18-7/26
Summer 2018	9283	MATH-142	Abadia	MTWTH 01:30PM-04:20PM SRC-W217 6/18-7/26
Summer 2014	9283	MATH-142	Abadia	MTWTH 12:45-3:35pm SRC-W221 6/16-7/24
Spring 2016	9366	MATH-051	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2018	9380	MATH-075SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Fall 2017	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2019	9380	MATH-075SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Fall 2019	9380	MATH-085SP	Abadia	MW 06:30PM-09:00PM SRC-E161
Spring 2020	9380	MATH-085SP	Abadia	T?TH? 06:15PM-08:45PM SRC-E161
Spring 2020	9381	MATH-119SP	Abadia	T?TH? 06:15PM-08:45PM SRC-E161
Spring 2019	9381	MATH-090SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Fall 2019	9381	MATH-119SP	Abadia	MW 06:30PM-09:00PM SRC-E161
Fall 2016	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2017	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2018	9381	MATH-090SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Fall 2018	9382	MATH-120SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Spring 2016	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2017	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2019	9382	MATH-120SP	Abadia	MW 06:30PM-09:00PM SRC-E161
Spring 2019	9382	MATH-120SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Spring 2019	9382	MATH-120SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Spring 2019	9383	MATH-135SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Spring 2019	9383	MATH-135SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Fall 2019	9383	MATH-135SP	Abadia	MW 06:30PM-09:00PM SRC-E161
Spring 2020	9383	MATH-135SP	Abadia	T?TH? 06:15PM-08:45PM SRC-E161
Fall 2016	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2017	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2018	9383	MATH-135SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Spring 2016	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2020	9384	MATH-191SP	Abadia	T?TH? 06:15PM-08:45PM SRC-E161
Fall 2019	9384	MATH-191SP	Abadia	MW 06:30PM-09:00PM SRC-E161
Spring 2016	9385	MATH-050	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9385	MATH-050	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9385	MATH-050	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9386	MATH-051	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9386	MATH-051	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9387	MATH-052	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9387	MATH-052	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9387	MATH-052	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2019	9387	MATH-052	Abadia	TTH 06:15PM-08:45PM SRC-E160
Spring 2016	9388	MATH-053	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9388	MATH-053	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9388	MATH-053	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2015	9396	MATH-142	Abadia	MW 4:00-5:50pm SRC-E227
Fall 2011	9477	MATH-192	Abadia	TTH 6:00-8:15pm SRC-E229 8/17-12/17
Fall 2012	9477	MATH-192	Abadia	TTH 6:00-8:15pm SRC-E229 8/17-12/17
Spring 2008	9839	MATH-075	Abadia	TTH 8:30-10:50am SRC-E226
Fall 2008	9023	ENGL-118	Abajian	TTH 9:30-10:45am SRC-W220
Fall 2007	9023	ENGL-118	Abajian	TTH 9:30-10:45am SRC-W218 8/16-12/16
Fall 2005	9023	ENGL-118	Abajian	TTH 9:30-10:45am SRV-218
Fall 2002	9023	ENGL-118	Abajian	TTH 8:00-9:15am SRV-214
Fall 2002	9024	ENGL-118	Abajian	T 7:00-9:50pm SRV-102
Spring 2010	9025	ENGL-122	Abajian	TTH 11:00-12:15pm SRV-E232
Fall 2004	9025	ENGL-122	Abajian	TTH 11:00-12:15pm SRV-218 8/19-12/19
Fall 2009	9026	ENGL-122	Abajian	TTH 9:30-10:45am SRC-E232
Fall 2003	9028	ENGL-122	Abajian	T 6:00-8:50pm SRV-110B
Fall 2009	9028	ENGL-122	Abajian	TTH 11:00-12:15pm SRC-E232
Fall 2002	9034	ENGL-222	Abajian	S 9:00-12:00pm LA-107
Fall 2002	9034	ENGL-222	Abajian	S 9:00-12:00pm LA-107
Fall 2007	9034	ENGL-225	Abajian	T 6:00-9:20pm WCC 9/04-12/11
Fall 2005	9034	ENGL-222	Abajian	M 7:00-9:50pm SRV-215
Fall 2003	9034	ENGL-222	Abajian	M 7:00-9:50pm SRV-216
Fall 2004	9034	ENGL-222	Abajian	M 7:00-9:50pm SRV-215 8/19-12/19
Fall 2009	9055	ENGL-222	Abajian	M 6:00-8:50pm SRC-E187
Spring 2009	9062	ENGL-222	Abajian	M 6:00-9:05pm SRC-W220
Spring 2010	9062	ENGL-222	Abajian	W 6:00-8:50pm SRV-W222
Spring 2007	9091	ENGL-122	Abajian	W 9:30-12:20pm SRC-232
Spring 2006	9091	ENGL-122	Abajian	W 9:30-12:20pm SRC-227
Fall 2005	9095	ENGL-122	Abajian	W 6:00-8:50pm SRV-218
Fall 2004	9095	ENGL-122	Abajian	W 6:00-8:50pm SRV-218 8/19-12/19
Spring 2010	9106	ESL-076	Abajian	TTH 9:00-10:45am SRV-E176
Spring 2010	9111	ESL-086	Abajian	T 5:00-8:50pm SRV-E229
Spring 2004	9180	ENGL-123	Abajian	W 6:00-8:50pm SRV-213
Spring 2009	9180	ENGL-123	Abajian	W 6:00-8:50pm SRC-W219
Spring 2008	9180	ENGL-123	Abajian	W 6:00-8:50pm SRC-W219
Fall 2002	9253	ENGL-122	Abajian	TTH 11:00-12:15pm SRV-105
Fall 2002	9256	ENGL-122	Abajian	M 6:00-8:50pm SRV-216
Fall 2005	9256	ENGL-122	Abajian	T 6:30-9:50pm WCC 9/06-12/13
Fall 2004	9280	ENGL-118	Abajian	TTH 9:30-10:45am SRV-218 8/19-12/19
Fall 2005	9280	ENGL-118	Abajian	TTH 11:00-12:15pm SRV-218
Fall 2003	9280	ENGL-118	Abajian	TTH 9:30-10:45am SRV-218
Fall 2007	9280	ENGL-118	Abajian	TTH 11:00-12:15pm SRC-W218 8/16-12/16
Fall 2008	9280	ENGL-118	Abajian	TTH 11:00-12:15pm SRC-W220
Spring 2004	9331	ENGL-118	Abajian	TTH 9:30-10:45am SRV-215
Fall 2004	9480	ENGL-123	Abajian	T 6:00-9:15pm SRV-218 9/07-12/14
Spring 2010	9507	ENGL-122	Abajian	TTH 9:30-10:45am SRV-E232
Spring 2005	9524	ENGL-122	Abajian	T 6:00-8:50pm SRV-218
Fall 2007	9624	ENGL-123	Abajian	online 8/20-12/16
Fall 2008	9624	ENGL-123	Abajian	W 6:00-8:50pm SRC-W222
Spring 2009	9666	ENGL-298	Abajian	   2/09-5/22
Spring 2008	9774	ENGL-118	Abajian	TTH 9:30-10:45am SRC-E232
Spring 2009	9774	ENGL-118	Abajian	TTH 9:30-10:45am SRC-E232
Spring 2006	9774	ENGL-118	Abajian	TTH 9:30-10:45am SRC-176
Spring 2007	9774	ENGL-118	Abajian	TTH 9:30-10:45am SRC-176
Spring 2007	9776	ENGL-118	Abajian	TTH 11:00-12:15pm SRC-176
Spring 2006	9776	ENGL-118	Abajian	TTH 11:00-12:15pm SRC-176
Spring 2009	9776	ENGL-118	Abajian	TTH 11:00-12:15pm SRC-E232
Spring 2008	9776	ENGL-118	Abajian	TTH 11:00-12:15pm SRC-E232
Spring 2005	9776	ENGL-118	Abajian	TTH 11:00-12:15pm SRV-218
Spring 2004	9776	ENGL-118	Abajian	T 6:00-9:15pm SRV-110B 2/03-5/25
Spring 2005	9809	ENGL-116	Abajian	TTH 9:30-10:45am SRV-218
Spring 2004	9809	ENGL-116	Abajian	TTH 11:00-12:15pm SRV-215
Spring 2005	9817	ENGL-222	Abajian	W 6:00-8:50pm SRV-218
Spring 2006	9818	ENGL-225	Abajian	W 6:00-8:50pm SRC-176
Fall 2010	1332	ARCHI-105	Abbott	F 11:00-1:25pm ET-123 9/10-12/17
Fall 2010	1338	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Fall 2005	1338	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-120B
Fall 2009	1338	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Fall 2006	1338	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-120B
Spring 2005	1338	ARCHI-160	Abbott	TTH 11:00-12:15pm ET-112
Fall 2008	1338	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Fall 2007	1338	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A 8/16-12/16
Fall 2016	1345	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A
Fall 2013	1345	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A
Fall 2015	1345	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A
Fall 2012	1345	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A 8/17-12/17
Fall 2018	1345	ARCHI-121	Abbott	TTH 02:30PM-06:35PM ET-122A
Fall 2011	1345	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A 8/17-12/17
Fall 2017	1345	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A
Spring 2011	1768	ARCHI-150E	Abbott	MW 2:00-3:00pm ET-122A 1/22-5/27
Fall 2009	1772	ARCHI-156	Abbott	MW 11:00-12:15pm ET-112
Fall 2010	1772	ARCHI-156	Abbott	MW 11:00-12:15pm ET-112
Fall 2010	1773	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A
Fall 2012	1773	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A 8/17-12/17
Fall 2005	1773	ARCHI-130	Abbott	TTH 8:00-10:50am ET-112
Fall 2004	1773	ARCHI-130	Abbott	TTH 8:00-9:00am ET-112 8/19-12/19
Fall 2007	1773	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A 8/16-12/16
Fall 2008	1773	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A
Fall 2006	1773	ARCHI-130	Abbott	TTH 8:00-10:50am ET-112
Fall 2003	1773	ARCHI-130	Abbott	TTH 8:00-9:00am ET-112
Fall 2011	1773	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A 8/17-12/17
Fall 2011	1781	ARCHI-157	Abbott	MW 11:00-12:15pm ET-112 8/17-12/17
Fall 2017	1781	ARCHI-157	Abbott	MW 11:00-12:20pm ET-112
Fall 2013	1781	ARCHI-157	Abbott	MW 11:00-12:20pm ET-112
Fall 2012	1781	ARCHI-157	Abbott	MW 11:00-12:15pm ET-112 8/17-12/17
Fall 2014	1781	ARCHI-157	Abbott	MW 11:00-12:20pm ET-112
Fall 2009	1788	ARCHI-130	Abbott	MW 2:00-3:00pm ET-122A
Fall 2006	1788	ARCHI-130	Abbott	TTH 8:00-10:50am ET-112
Spring 2019	1855	ARCHI-110	Abbott	F 10:00AM-04:20PM ET-120A 2/01-4/26
Spring 2017	1855	ARCHI-110	Abbott	F 10:00-3:50pm ET-120A 1/27-4/28
Spring 2016	1855	ARCHI-110	Abbott	F 10:00-3:15pm ET-120A 1/22-4/22
Spring 2020	1855	ARCHI-110	Abbott	F? 10:00AM-04:20PM ET-120A 1/27-4/24
Spring 2013	1865	ARCHI-158	Abbott	TTH 11:00-12:15pm ET-112
Spring 2012	1865	ARCHI-158	Abbott	TTH 11:00-12:15pm ET-112
Spring 2010	1866	ARCHI-157	Abbott	MW 11:00-12:15pm ET-112
Spring 2017	1895	ARCHI-157	Abbott	MW 11:00-12:20pm ET-112
Fall 2015	1975	ARCHI-137	Abbott	MW 8:00-10:50am ET-124
Spring 2019	2212	ARCHI-298	Abbott	  
Fall 2018	2395	ARCHI-207	Abbott	F 10:10AM-01:20PM ET-122A
Spring 2011	2664	ARCHI-222	Abbott	MW 8:00-10:50am ET-124 1/22-5/27
Spring 2006	2949	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A
Spring 2005	2949	ARCHI-130	Abbott	TTH 8:00-9:00am ET-112
Spring 2004	2949	ARCHI-130	Abbott	TTH 8:00-10:50am ET-112
Spring 2008	2949	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A
Spring 2007	2949	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A
Spring 2009	2949	ARCHI-130	Abbott	TTH 8:00-10:50am ET-122A
Spring 2007	2951	ARCHI-130	Abbott	MW 2:00-3:00pm ET-112
Spring 2006	2951	ARCHI-130	Abbott	MW 2:00-3:00pm ET-112
Spring 2010	2951	ARCHI-130	Abbott	MW 2:00-4:50pm ET-122A
Spring 2008	2953	ARCHI-220	Abbott	MW 2:00-3:00pm ET-116
Spring 2008	2954	ARCHI-221	Abbott	MWMW 1:00-2:00pm ET-116
Spring 2011	2954	ARCHI-221	Abbott	MW 2:00-3:00pm ET-122A 1/22-5/27
Spring 2012	2954	ARCHI-221	Abbott	MWMW 2:00-4:50pm ET-103
Spring 2013	2954	ARCHI-221	Abbott	MWMW 2:00-4:50pm ET-103
Spring 2020	2954	ARCHI-121	Abbott	T?TH? 02:30PM-06:40PM ET-122A
Spring 2007	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Spring 2017	2956	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A
